section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,meeting (2),meeting (3),meeting (4),meeting (5),tooltip-row (3),tooltip-row (5),tooltip-row (7),tooltip-row (9),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),readonly (7),readonly (8),status-bold,readonly (9),readonly (10),readonly (11),status-full,status-waitlist,status-bold (2)
Constitutional Law,Lecture,Law,6101,01,4,70001,"Monday,Wednesday",S,M,T,W,T,F,S,11:10 AM - 12:25 PM,11,10,12,25,Building: Dockser Hall,Room: 220,Start Date: 01/06/2025,End Date: 04/11/2025,Thursday,S,M,T,W,T,F,S,11:30 AM - 12:45 PM,11,30,12,45,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 250,Room:,Start Date: 01/06/2025,Start Date:,End Date: 04/11/2025,End Date:,Boston,2 of 76 seats remain.,2,Law Billing,NUpath Societies/Institutions,Cargill Hall Law Door Access,,,
Constitutional Law,Lecture,Law,6101,02,4,70002,"Tuesday,Thursday",S,T,M,T,W,F,S,09:35 AM - 10:50 AM,09,35,10,50,Building: Dockser Hall,Room: 240,Start Date: 01/06/2025,End Date: 04/11/2025,Friday,S,M,T,W,F,T,S,11:10 AM - 12:35 PM,11,10,12,35,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 240,Room:,Start Date: 01/06/2025,Start Date:,End Date: 04/11/2025,End Date:,Boston,,FULL,Law Billing,NUpath Societies/Institutions,Cargill Hall Law Door Access,FULL: 0 of 76 seats remain.,,
Constitutional Law,Lecture,Law,6101,03,4,70003,"Tuesday,Thursday",S,T,M,T,W,F,S,11:10 AM - 12:25 PM,11,10,12,25,Building: Dockser Hall,Room: 220,Start Date: 01/06/2025,End Date: 04/11/2025,Wednesday,S,M,T,T,W,F,S,11:10 AM - 12:25 PM,11,10,12,25,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 240,Room:,Start Date: 01/06/2025,Start Date:,End Date: 04/11/2025,End Date:,Boston,2 of 76 seats remain.,2,Law Billing,NUpath Societies/Institutions,Cargill Hall Law Door Access,,,
Contracts,Lecture,Law,6102,01,5,70004,"Monday,Wednesday",S,M,T,W,T,F,S,02:20 PM - 04:50 PM,02,20,04,50,Building: Dockser Hall,Room: 220,Start Date: 01/06/2025,End Date: 04/11/2025,,,,,,,,,,,,,,,,,,,,,,,,Boston,2 of 76 seats remain.,2,Law Billing,Cargill Hall Law Door Access,,,,
Contracts,Lecture,Law,6102,02,5,70005,"Monday,Wednesday",S,M,T,W,T,F,S,02:20 PM - 04:50 PM,02,20,04,50,Building: Dockser Hall,Room: 240,Start Date: 01/06/2025,End Date: 04/11/2025,,,,,,,,,,,,,,,,,,,,,,,,Boston,,FULL,Law Billing,Cargill Hall Law Door Access,,FULL: 0 of 76 seats remain.,,
Contracts,Lecture,Law,6102,03,5,70006,Wednesday,S,W,M,F,T,T,F,08:20 AM - 10:50 AM,08,20,10,50,Building: Dockser Hall,Room: 220,Start Date: 01/06/2025,End Date: 04/11/2025,Friday,S,S,M,T,S,W,T,08:20 AM - 10:50 AM,08,20,10,50,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 240,Room:,Start Date: 01/06/2025,Start Date:,End Date: 04/11/2025,End Date:,Boston,2 of 76 seats remain.,2,Law Billing,Cargill Hall Law Door Access,,,,
Criminal Justice,Lecture,Law,6103,01,4,70007,Thursday,S,T,M,T,T,W,F,10:00 AM - 11:15 AM,10,00,11,15,Building: Dockser Hall,Room: 250,Start Date: 01/06/2025,End Date: 04/11/2025,"Tuesday,Friday",S,S,M,W,T,S,F,11:10 AM - 12:25 PM,11,10,12,25,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 250,Room:,Start Date: 01/06/2025,Start Date:,End Date: 04/11/2025,End Date:,Boston,2 of 76 seats remain.,2,Law Billing,Cargill Hall Law Door Access,,,,
Criminal Justice,Lecture,Law,6103,02,4,70008,"Monday,Wednesday",S,M,T,W,T,F,S,09:35 AM - 10:50 AM,09,35,10,50,Building: Dockser Hall,Room: 250,Start Date: 01/06/2025,End Date: 04/11/2025,Tuesday,S,M,W,T,T,F,S,02:50 PM - 04:05 PM,02,50,04,05,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 220,Room:,Start Date: 01/06/2025,Start Date:,End Date: 04/11/2025,End Date:,Boston,,FULL,Law Billing,Cargill Hall Law Door Access,,FULL: 0 of 76 seats remain.,,
Criminal Justice,Lecture,Law,6103,03,4,70009,Monday,S,M,T,T,W,T,F,11:10 AM - 12:25 PM,11,10,12,25,Building: Dockser Hall,Room: 240,Start Date: 01/06/2025,End Date: 04/11/2025,"Tuesday,Thursday",S,S,M,W,T,F,S,01:15 PM - 02:30 PM,01,15,02,30,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 240,Room:,Start Date: 01/06/2025,Start Date:,End Date: 04/11/2025,End Date:,Boston,2 of 76 seats remain.,2,Law Billing,Cargill Hall Law Door Access,,,,
Criminal Justice,Lecture,Law,6103,05,4,70131,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Online,1 of 41 seats remain.,1,Law Billing,Cargill Hall Law Door Access,,,,
Legal Skills in Social Context,Lecture,Law,6160,01,2,70010,Tuesday,S,T,M,,W,T,F,01:20 PM - 03:20 PM,01,20,03,20,Building: Dockser Hall,Room: 032,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,2 of 16 seats remain.,2,Law Billing,Cargill Hall Law Door Access,,,,
Legal Skills in Social Context,Lecture,Law,6160,02,2,70011,Tuesday,S,T,M,,W,T,F,09:00 AM - 11:00 AM,09,00,11,00,Building: Dockser Hall,Room: 032,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,1 of 16 seats remain.,1,Law Billing,Cargill Hall Law Door Access,,,,
Legal Skills in Social Context,Lecture,Law,6160,03,2,70012,Tuesday,S,T,M,,W,T,F,09:00 AM - 11:00 AM,09,00,11,00,Building: Dockser Hall,Room: 042,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,2 of 16 seats remain.,2,Law Billing,Cargill Hall Law Door Access,,,,
Legal Skills in Social Context,Lecture,Law,6160,04,2,70013,Tuesday,S,T,M,,W,T,F,01:20 PM - 03:20 PM,01,20,03,20,Building: Dockser Hall,Room: 042,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,2 of 16 seats remain.,2,Law Billing,Cargill Hall Law Door Access,,,,
Legal Skills in Social Context,Lecture,Law,6160,05,2,70014,Monday,S,M,T,,W,T,F,08:30 AM - 10:30 AM,08,30,10,30,Building: Dockser Hall,Room: 032,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,,FULL,Law Billing,Cargill Hall Law Door Access,,FULL: 0 of 16 seats remain.,,
Legal Skills in Social Context,Lecture,Law,6160,06,2,70015,Monday,S,M,T,,W,T,F,08:30 AM - 10:30 AM,08,30,10,30,Building: Dockser Hall,Room: 044,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,1 of 16 seats remain.,1,Law Billing,Cargill Hall Law Door Access,,,,
Legal Skills in Social Context,Lecture,Law,6160,07,2,70016,Tuesday,S,T,M,,W,T,F,09:00 AM - 11:00 AM,09,00,11,00,Building: Dockser Hall,Room: 044,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,1 of 16 seats remain.,1,Law Billing,Cargill Hall Law Door Access,,,,
Legal Skills in Social Context,Lecture,Law,6160,08,2,70017,Wednesday,S,W,M,,T,T,F,02:20 PM - 04:20 PM,02,20,04,20,Building: Dockser Hall,Room: 046,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,2 of 16 seats remain.,2,Law Billing,Cargill Hall Law Door Access,,,,
Legal Skills in Social Context,Lecture,Law,6160,09,2,70018,Thursday,S,T,M,,T,W,F,09:00 AM - 11:00 AM,09,00,11,00,Building: Dockser Hall,Room: 046,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,1 of 16 seats remain.,1,Law Billing,Cargill Hall Law Door Access,,,,
Legal Skills in Social Context,Lecture,Law,6160,10,2,70019,Monday,S,M,T,,W,T,F,02:20 PM - 04:20 PM,02,20,04,20,Building: Dockser Hall,Room: 032,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,1 of 16 seats remain.,1,Law Billing,Cargill Hall Law Door Access,,,,
Legal Skills in Social Context,Lecture,Law,6160,11,2,70020,Tuesday,S,T,M,,W,T,F,11:10 AM - 01:10 PM,11,10,01,10,Building: Dockser Hall,Room: 044,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,1 of 16 seats remain.,1,Law Billing,Cargill Hall Law Door Access,,,,
Legal Skills in Social Context,Lecture,Law,6160,12,2,70021,Friday,S,F,M,,T,W,T,08:30 AM - 10:30 AM,08,30,10,30,Building: Dockser Hall,Room: 032,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,1 of 16 seats remain.,1,Law Billing,Cargill Hall Law Door Access,,,,
Legal Skills in Social Context,Lecture,Law,6160,13,2,70022,Thursday,S,T,M,,T,W,F,11:10 AM - 01:10 PM,11,10,01,10,Building: Dockser Hall,Room: 032,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,,FULL,Law Billing,Cargill Hall Law Door Access,,FULL: 0 of 16 seats remain.,,
Legal Skills in Social Context,Lecture,Law,6160,14,2,70023,Tuesday,S,T,M,,W,T,F,11:10 AM - 01:10 PM,11,10,01,10,Building: Dockser Hall,Room: 042,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,1 of 16 seats remain.,1,Law Billing,Cargill Hall Law Door Access,,,,
Legal Skills in Social Context,Lecture,Law,6160,15,2,70051,Friday,S,F,M,,T,W,T,08:30 AM - 10:30 AM,08,30,10,30,Building: Dockser Hall,Room: 044,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,1 of 16 seats remain.,1,Law Billing,Cargill Hall Law Door Access,,,,
Legal Skills in Social Context,Lecture,Law,6160,16,2,70134,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Online,2 of 15 seats remain.,2,Law Billing,Cargill Hall Law Door Access,,,,
Legal Skills in Social Context,Lecture,Law,6160,17,2,70132,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Online,3 of 15 seats remain.,3,Law Billing,Cargill Hall Law Door Access,,,,
Legal Skills in Social Context,Lecture,Law,6160,18,2,70133,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Online,,FULL,Law Billing,Cargill Hall Law Door Access,,FULL: 0 of 15 seats remain.,,
LSSC: Legal Research and Writing Component,Lecture,Law,6165,01,2,70024,Thursday,S,T,M,,T,W,F,01:20 PM - 03:20 PM,01,20,03,20,Building: Dockser Hall,Room: 230,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,1 of 16 seats remain.,1,Law Billing,Cargill Hall Law Door Access,,,,
LSSC: Legal Research and Writing Component,Lecture,Law,6165,02,2,70025,Thursday,S,T,M,,T,W,F,01:20 PM - 03:20 PM,01,20,03,20,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,2 of 16 seats remain.,2,Law Billing,Cargill Hall Law Door Access,,,,
LSSC: Legal Research and Writing Component,Lecture,Law,6165,03,2,70026,Wednesday,S,W,M,,T,T,F,08:30 AM - 10:30 AM,08,30,10,30,Building: Dockser Hall,Room: 044,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,2 of 16 seats remain.,2,Law Billing,Cargill Hall Law Door Access,,,,
LSSC: Legal Research and Writing Component,Lecture,Law,6165,04,2,70027,Wednesday,S,W,M,,T,T,F,09:00 AM - 11:00 AM,09,00,11,00,Building: Dockser Hall,Room: 032,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,2 of 16 seats remain.,2,Law Billing,Cargill Hall Law Door Access,,,,
LSSC: Legal Research and Writing Component,Lecture,Law,6165,05,2,70028,Wednesday,S,W,M,,T,T,F,08:30 AM - 10:30 AM,08,30,10,30,Building: Dockser Hall,Room: 046,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,,FULL,Law Billing,Cargill Hall Law Door Access,,FULL: 0 of 16 seats remain.,,
LSSC: Legal Research and Writing Component,Lecture,Law,6165,06,2,70029,Thursday,S,T,M,,T,W,F,09:00 AM - 11:00 AM,09,00,11,00,Building: Dockser Hall,Room: 160,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,1 of 16 seats remain.,1,Law Billing,Cargill Hall Law Door Access,,,,
LSSC: Legal Research and Writing Component,Lecture,Law,6165,07,2,70030,Thursday,S,T,M,,T,W,F,09:00 AM - 11:00 AM,09,00,11,00,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,1 of 16 seats remain.,1,Law Billing,Cargill Hall Law Door Access,,,,
LSSC: Legal Research and Writing Component,Lecture,Law,6165,08,2,70031,Monday,S,M,T,,W,T,F,08:30 AM - 10:30 AM,08,30,10,30,Building: Dockser Hall,Room: 046,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,2 of 16 seats remain.,2,Law Billing,Cargill Hall Law Door Access,,,,
LSSC: Legal Research and Writing Component,Lecture,Law,6165,09,2,70032,Monday,S,M,T,,W,T,F,02:20 PM - 04:20 PM,02,20,04,20,Building: Dockser Hall,Room: 046,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,,FULL,Law Billing,Cargill Hall Law Door Access,,FULL: 0 of 16 seats remain.,,
LSSC: Legal Research and Writing Component,Lecture,Law,6165,10,2,70033,Wednesday,S,W,M,,T,T,F,02:20 PM - 04:20 PM,02,20,04,20,Building: Dockser Hall,Room: 032,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,1 of 16 seats remain.,1,Law Billing,Cargill Hall Law Door Access,,,,
LSSC: Legal Research and Writing Component,Lecture,Law,6165,11,2,70034,Thursday,S,T,M,,T,W,F,11:10 AM - 01:10 PM,11,10,01,10,Building: Dockser Hall,Room: 044,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,,FULL,Law Billing,Cargill Hall Law Door Access,,FULL: 0 of 16 seats remain.,,
LSSC: Legal Research and Writing Component,Lecture,Law,6165,12,2,70035,Tuesday,S,T,M,,W,T,F,11:10 AM - 01:10 PM,11,10,01,10,Building: Dockser Hall,Room: 230,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,1 of 16 seats remain.,1,Law Billing,Cargill Hall Law Door Access,,,,
LSSC: Legal Research and Writing Component,Lecture,Law,6165,13,2,70036,Tuesday,S,T,M,,W,T,F,11:10 AM - 01:10 PM,11,10,01,10,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,,FULL,Law Billing,Cargill Hall Law Door Access,,FULL: 0 of 16 seats remain.,,
LSSC: Legal Research and Writing Component,Lecture,Law,6165,14,2,70037,Thursday,S,T,M,,T,W,F,01:20 PM - 03:20 PM,01,20,03,20,Building: Dockser Hall,Room: 160,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,1 of 16 seats remain.,1,Law Billing,Cargill Hall Law Door Access,,,,
LSSC: Legal Research and Writing Component,Lecture,Law,6165,15,2,70052,Thursday,S,T,M,,T,W,F,01:20 PM - 03:20 PM,01,20,03,20,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,1 of 16 seats remain.,1,Law Billing,Cargill Hall Law Door Access,,,,
LSSC: Legal Research and Writing Component,Lecture,Law,6165,16,2,70137,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Online,2 of 15 seats remain.,2,Law Billing,Cargill Hall Law Door Access,,,,
LSSC: Legal Research and Writing Component,Lecture,Law,6165,17,2,70135,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Online,3 of 15 seats remain.,3,Law Billing,Cargill Hall Law Door Access,,,,
LSSC: Legal Research and Writing Component,Lecture,Law,6165,18,2,70136,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Online,,FULL,Law Billing,Cargill Hall Law Door Access,,FULL: 0 of 15 seats remain.,,
Introduction to U.S. Constitutional Law,Lecture,Law,6314,01,3,70053,Friday,S,F,M,,T,W,T,09:35 AM - 12:35 PM,09,35,12,35,Building: Dockser Hall,Room: 230,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,4 of 34 seats remain.,4,Law Billing,Cargill Hall Law Door Access,,,,
Legal Research and Writing for LLM Students: Preparing for Co-op,Seminar,Law,6315,02,2,70121,Thursday,S,T,M,,T,W,F,04:00 PM - 06:00 PM,04,00,06,00,Building: Knowles Center,Room: 204,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,,FULL,Law Billing,Cargill Hall Law Door Access,,FULL: 0 of 12 seats remain.,5 of 5 waitlist seats remain.,5
Legal Research and Writing for LLM Students: Preparing for Co-op,Seminar,Law,6315,03,2,70138,Monday,S,M,T,,W,T,F,04:25 PM - 06:25 PM,04,25,06,25,Building: Dockser Hall,Room: 030,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,"2 of 7 seats remain.
5 of 5 waitlist seats remain.",2,Law Billing,Cargill Hall Law Door Access,,,,5
Legal Research and Writing for LLM Students: Preparing for Co-op,Seminar,Law,6315,04,2,70163,Tuesday,S,T,M,,W,T,F,02:50 PM - 04:50 PM,02,50,04,50,Building: Dockser Hall,Room: 030,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,"1 of 15 seats remain.
5 of 5 waitlist seats remain.",1,Law Billing,Cargill Hall Law Door Access,,,,5
Introduction to Civil Procedure,Lecture,Law,6316,01,3,70249,Thursday,S,T,M,,T,W,F,10:00 AM - 01:00 PM,10,00,01,00,Building: Knowles Center,Room: 204,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,14 of 25 seats remain.,14,Law Billing,Cargill Hall Law Door Access,,,,
Introduction to U.S. Law and Legal System,Lecture,Law,6400,01,3,70045,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Online,6 of 25 seats remain.,6,Law Billing,,,,,
Constitutional Law,Lecture,Law,6403,01,3,70046,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Online,1 of 20 seats remain.,1,Law Billing,,,,,
Constitutional Law,Lecture,Law,6403,02,3,70293,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Online,4 of 22 seats remain.,4,Law Billing,,,,,
Civil Procedure,Lecture,Law,6404,01,3,70047,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Online,1 of 25 seats remain.,1,Law Billing,,,,,
Criminal Law,Lecture,Law,6406,01,3,70164,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Online,,FULL,Law Billing,,,FULL: 0 of 25 seats remain.,,
Mergers and Acquisitions,Lecture,Law,7005,02,3,70250,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Online,9 of 20 seats remain.,9,Law Billing,,,,,
Secured Transactions,Lecture,Law,7006,01,3,70251,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Online,18 of 25 seats remain.,18,Law Billing,,,,,
