section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,meeting (2),meeting (3),meeting (4),meeting (5),tooltip-row (3),tooltip-row (5),tooltip-row (7),tooltip-row (9),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),readonly (7),readonly (8),status-bold,readonly (9),readonly (10),readonly (11),status-full,status-waitlist,status-bold (2)
Teaching Assistant,Individual Instruction,Law,7937,26,1 TO 3,70275,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",1 of 2 seats remain.,1,No Course Evaluation,Law Billing,Cargill Hall Law Door Access,,,
Teaching Assistant,Individual Instruction,Law,7937,27,1 TO 3,70277,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,FULL,No Course Evaluation,Law Billing,Cargill Hall Law Door Access,FULL: 0 of 1 seats remain.,,
Teaching Assistant,Individual Instruction,Law,7937,29,1 TO 3,70283,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,FULL,No Course Evaluation,Law Billing,Cargill Hall Law Door Access,FULL: 0 of 1 seats remain.,,
Teaching Assistant,Individual Instruction,Law,7937,30,1 TO 3,70286,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,FULL,No Course Evaluation,Law Billing,Cargill Hall Law Door Access,FULL: 0 of 1 seats remain.,,
Teaching Assistant,Individual Instruction,Law,7937,31,1 TO 3,70287,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,FULL,No Course Evaluation,Law Billing,Cargill Hall Law Door Access,FULL: 0 of 4 seats remain.,,
Teaching Assistant,Individual Instruction,Law,7937,32,1 TO 3,70290,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,FULL,No Course Evaluation,Law Billing,Cargill Hall Law Door Access,FULL: 0 of 1 seats remain.,,
Teaching Assistant,Individual Instruction,Law,7937,33,1 TO 3,70292,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,FULL,No Course Evaluation,Law Billing,Cargill Hall Law Door Access,FULL: 0 of 1 seats remain.,,
Teaching Assistant,Individual Instruction,Law,7937,34,1 TO 3,70296,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,FULL,No Course Evaluation,Law Billing,Cargill Hall Law Door Access,FULL: 0 of 2 seats remain.,,
Teaching Assistant,Individual Instruction,Law,7937,35,1 TO 3,70295,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,FULL,No Course Evaluation,Law Billing,Cargill Hall Law Door Access,FULL: 0 of 1 seats remain.,,
Teaching Assistant,Individual Instruction,Law,7937,36,1 TO 3,70304,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,FULL,No Course Evaluation,Law Billing,Cargill Hall Law Door Access,FULL: 0 of 1 seats remain.,,
Teaching Assistant,Individual Instruction,Law,7937,37,1 TO 3,70308,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,FULL,No Course Evaluation,Law Billing,Cargill Hall Law Door Access,FULL: 0 of 1 seats remain.,,
Teaching Assistant,Individual Instruction,Law,7937,38,1 TO 3,70309,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,FULL,No Course Evaluation,Law Billing,Cargill Hall Law Door Access,FULL: 0 of 1 seats remain.,,
Teaching Assistant,Individual Instruction,Law,7937,39,1 TO 3,70310,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,FULL,No Course Evaluation,Law Billing,Cargill Hall Law Door Access,FULL: 0 of 1 seats remain.,,
Research Assistant,Individual Instruction,Law,7938,18,1 TO 3,70284,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,FULL,No Course Evaluation,Law Billing,Cargill Hall Law Door Access,FULL: 0 of 2 seats remain.,,
Research Assistant,Individual Instruction,Law,7938,19,1 TO 3,70291,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,FULL,No Course Evaluation,Law Billing,Cargill Hall Law Door Access,FULL: 0 of 1 seats remain.,,
Research Assistant,Individual Instruction,Law,7938,20,1 TO 3,70294,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,FULL,No Course Evaluation,Law Billing,Cargill Hall Law Door Access,FULL: 0 of 1 seats remain.,,
Research Assistant,Individual Instruction,Law,7938,21,1 TO 3,70300,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,FULL,No Course Evaluation,Law Billing,Cargill Hall Law Door Access,FULL: 0 of 1 seats remain.,,
Research Assistant,Individual Instruction,Law,7938,22,1 TO 3,70299,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,FULL,No Course Evaluation,Law Billing,Cargill Hall Law Door Access,FULL: 0 of 1 seats remain.,,
Research Assistant,Individual Instruction,Law,7938,25,1 TO 3,70313,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,FULL,No Course Evaluation,Law Billing,Cargill Hall Law Door Access,FULL: 0 of 1 seats remain.,,
Reflections on Lawyering,Lecture,Law,7940,01,1,70146,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Online,7 of 15 seats remain.,7,Law Billing,,,,,
Reflections on Lawyering,Lecture,Law,7940,02,1,70155,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Online,7 of 15 seats remain.,7,Law Billing,,,,,
Public Interest / Public Service Field Placement,Off-campus instruction,Law,7941,01,7,70147,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",84 of 100 seats remain.,84,Law Billing,,,,,
Field Placement Seminar,Seminar,Law,7945,01,2,70269,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",10 of 20 seats remain.,10,Law Billing,,,,,
Field Placement Seminar,Seminar,Law,7945,02,2,70270,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",11 of 20 seats remain.,11,Law Billing,,,,,
Field Placement Seminar,Seminar,Law,7945,03,2,70273,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",10 of 20 seats remain.,10,Law Billing,,,,,
Field Placement,Off-campus instruction,Law,7946,01,6,70271,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",21 of 50 seats remain.,21,Law Billing,,,,,
Independent Field Placement,Off-campus instruction w/ lec,Law,7949,01,2 TO 4,70221,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",2 of 3 seats remain.,2,Law Billing,,,,,
Independent Field Placement,Off-campus instruction w/ lec,Law,7949,03,2 TO 4,70223,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",1 of 2 seats remain.,1,Law Billing,,,,,
Independent Field Placement,Off-campus instruction w/ lec,Law,7949,04,2 TO 4,70224,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",1 of 2 seats remain.,1,Law Billing,,,,,
Independent Field Placement,Off-campus instruction w/ lec,Law,7949,05,2 TO 4,70225,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",1 of 2 seats remain.,1,Law Billing,,,,,
Independent Field Placement,Off-campus instruction w/ lec,Law,7949,06,2 TO 4,70226,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,FULL,Law Billing,,,FULL: 0 of 2 seats remain.,,
Independent Field Placement,Off-campus instruction w/ lec,Law,7949,07,2 TO 4,70227,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",1 of 2 seats remain.,1,Law Billing,,,,,
Independent Field Placement,Off-campus instruction w/ lec,Law,7949,08,2 TO 4,70228,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",1 of 2 seats remain.,1,Law Billing,,,,,
Independent Field Placement,Off-campus instruction w/ lec,Law,7949,09,2 TO 4,70229,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",1 of 2 seats remain.,1,Law Billing,,,,,
Independent Field Placement,Off-campus instruction w/ lec,Law,7949,10,2 TO 4,70230,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",1 of 2 seats remain.,1,Law Billing,,,,,
Independent Field Placement,Off-campus instruction w/ lec,Law,7949,11,2 TO 4,70231,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",1 of 2 seats remain.,1,Law Billing,,,,,
Independent Field Placement,Off-campus instruction w/ lec,Law,7949,12,2 TO 4,70232,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",1 of 2 seats remain.,1,Law Billing,,,,,
Directed Study,Individual Instruction,Law,7976,16,1 TO 6,70282,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,FULL,No Course Evaluation,Law Billing,Cargill Hall Law Door Access,FULL: 0 of 1 seats remain.,,
Directed Study,Individual Instruction,Law,7976,17,1 TO 6,70306,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,FULL,No Course Evaluation,Law Billing,Cargill Hall Law Door Access,FULL: 0 of 1 seats remain.,,
Directed Study,Individual Instruction,Law,7976,18,1 TO 6,70288,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,FULL,No Course Evaluation,Law Billing,Cargill Hall Law Door Access,FULL: 0 of 1 seats remain.,,
Directed Study,Individual Instruction,Law,7976,20,1 TO 6,70289,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,FULL,No Course Evaluation,Law Billing,Cargill Hall Law Door Access,FULL: 0 of 1 seats remain.,,
Directed Study,Individual Instruction,Law,7976,21,1 TO 6,70301,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,FULL,No Course Evaluation,Law Billing,Cargill Hall Law Door Access,FULL: 0 of 1 seats remain.,,
Directed Study,Individual Instruction,Law,7976,22,1 TO 6,70297,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,FULL,No Course Evaluation,Law Billing,Cargill Hall Law Door Access,FULL: 0 of 1 seats remain.,,
Directed Study,Individual Instruction,Law,7976,23,1 TO 6,70298,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,FULL,No Course Evaluation,Law Billing,Cargill Hall Law Door Access,FULL: 0 of 1 seats remain.,,
Directed Study,Individual Instruction,Law,7976,24,1 TO 6,70302,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,FULL,No Course Evaluation,Law Billing,Cargill Hall Law Door Access,FULL: 0 of 3 seats remain.,,
Directed Study,Individual Instruction,Law,7976,26,1 TO 6,70307,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,FULL,No Course Evaluation,Law Billing,Cargill Hall Law Door Access,FULL: 0 of 1 seats remain.,,
Directed Study,Individual Instruction,Law,7976,27,1 TO 6,70312,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",1 of 2 seats remain.,1,No Course Evaluation,Law Billing,Cargill Hall Law Door Access,,,
Directed Study,Individual Instruction,Law,7976,30,1 TO 6,70311,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",1 of 3 seats remain.,1,No Course Evaluation,Law Billing,Cargill Hall Law Door Access,,,
AsianAmricns&CommunityLawering,Seminar,Law,7983,03,2,70148,"Sunday,Saturday",M,S,T,S,W,T,F,10:00 AM - 12:30 PM,10,00,12,30,Building: Dockser Hall,Room: 230,Start Date: 01/31/2025,End Date: 02/09/2025,Saturday,S,M,T,W,T,F,S,10:00 AM - 12:30 PM,10,00,12,30,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 230,Room:,Start Date: 01/31/2025,Start Date:,End Date: 02/09/2025,End Date:,Boston,"3 of 25 seats remain.
20 of 20 waitlist seats remain.",3,Law Billing,Topics Course,,,,20
Virtual Legal Advocacy Clinic,Seminar,Law,7983,04,4,70150,Tuesday,S,T,M,,W,T,F,06:30 PM - 08:30 PM,06,30,08,30,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,S,,,,,,,,,,,,,,,,,,,,,,Online,,FULL,Law Billing,Topics Course,,FULL: 0 of 8 seats remain.,8 of 8 waitlist seats remain.,8
"Race, Police Violence, and Dev",Seminar,Law,7983,05,3,70173,"Monday,Wednesday",S,M,T,W,T,F,S,02:50 PM - 04:30 PM,02,50,04,30,Building: Dockser Hall,Room: 044,Start Date: 01/06/2025,End Date: 04/11/2025,,,,,,,,,,,,,,,,,,,,,,,,Boston,"2 of 12 seats remain.
8 of 8 waitlist seats remain.",2,Law Billing,Topics Course,,,,8
Regulation of Asset Managers,Seminar,Law,7983,06,2,70272,Thursday,S,T,M,,T,W,F,05:30 PM - 07:30 PM,05,30,07,30,Building: Dockser Hall,Room: 046,Start Date: 01/06/2025,End Date: 04/11/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,"9 of 20 seats remain.
20 of 20 waitlist seats remain.",9,Law Billing,Topics Course,,,,20
Introduction to Legal Studies 1: Law and Legal Reasoning,Lecture,Legal Studies,6101,01,3,70038,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 02/22/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Online,2 of 25 seats remain.,2,Law Billing,,,,,
Introduction to Legal Studies 2,Lecture,Legal Studies,6102,01,3,70039,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 02/24/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Online,4 of 25 seats remain.,4,Law Billing,,,,,
Law of Information and Records,Lecture,Legal Studies,6110,01,3,70042,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 02/24/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Online,9 of 25 seats remain.,9,Law Billing,,,,,
Law and Strategy,Lecture,Legal Studies,6120,01,3,70044,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 02/24/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Online,"3 of 25 seats remain.
3 of 3 waitlist seats remain.",3,Law Billing,,,,,3
Negotiation and Advocacy,Lecture,Legal Studies,6130,01,3,70120,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 02/22/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Online,"2 of 26 seats remain.
2 of 2 waitlist seats remain.",2,Law Billing,,,,,2
Data Regulation and Compliance,Lecture,Legal Studies,6140,01,3,70041,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 02/24/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Online,10 of 25 seats remain.,10,Law Billing,,,,,
Legal Foundations of Public Policy,Lecture,Legal Studies,6155,01,3,70049,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 02/22/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Online,,FULL,Law Billing,,,FULL: 0 of 25 seats remain.,2 of 2 waitlist seats remain.,2
Healthcare Regulation and Compliance,Lecture,Legal Studies,6181,01,3,70040,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 02/24/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Online,9 of 25 seats remain.,9,Law Billing,,,,,
"Patient Records, Privacy, and Security",Lecture,Legal Studies,6182,01,3,70149,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 02/22/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Online,16 of 25 seats remain.,16,Law Billing,,,,,
Special Topics in Employee Rights and Employer Obligations,Lecture,Legal Studies,6210,01,3,70043,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 02/22/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Online,3 of 25 seats remain.,3,Law Billing,Topics Course,,,,
Intellectual Property and Media,Lecture,Legal Studies,6232,01,3,70169,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 02/22/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Online,13 of 25 seats remain.,13,Law Billing,,,,,
Current Issues in Law and Public Policy,Lecture,Legal Studies,6235,01,3,70050,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 02/24/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Online,,FULL,Law Billing,,,FULL: 0 of 25 seats remain.,2 of 2 waitlist seats remain.,2
International Study&#8212;France,Off-campus instruction,Study Abroad - Law,5108,01,0,70205,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,FULL,Full-time status,Do not publish in catalog,No Course Evaluation,FULL: 0 of 2 seats remain.,,
International Study&#8212;School of Law,Off-campus instruction,Study Abroad - Law,5109,01,0,70303,None,S,,M,,T,W,T,-,,,,,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/25/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,FULL,Full-time status,Do not publish in catalog,No Course Evaluation,FULL: 0 of 1 seats remain.,,
