section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row,tooltip-row (2),tooltip-row (3),tooltip-row (4),tooltip-row (5),tooltip-row (6),tooltip-row (7),tooltip-row (8),tooltip-row (9),tooltip-row (10),readonly (7),readonly (8),status-bold,readonly (9),readonly (10),meeting (2),meeting (3),meeting (4),meeting (5),status-bold (2),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),readonly (11),readonly (12)
Contracts,Lecture,Law,6102,01,5,20075,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,Online,41 of 41 seats remain.,41,Law Billing,Cargill Hall Law Door Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property,Lecture,Law,6105,01,4,20048,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,Online,41 of 41 seats remain.,41,Law Billing,Cargill Hall Law Door Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contracts,Lecture,Law,6401,01,3,20076,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,Online,25 of 25 seats remain.,25,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torts,Lecture,Law,6402,01,3,20077,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,Online,25 of 25 seats remain.,25,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Civil Procedure,Lecture,Law,6404,01,3,20078,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,Online,25 of 25 seats remain.,25,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criminal Law,Lecture,Law,6406,01,3,20070,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,Online,25 of 25 seats remain.,25,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Sales and Commercial Arbitration,Lecture,Law,7003,01,3,20095,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,Online,25 of 25 seats remain.,25,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modern Privacy Challenges,Lecture,Law,7014,01,3,20085,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,Online,20 of 20 seats remain.,20,Law Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Administrative Law,Lecture,Law,7300,01,3,20112,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,Online,40 of 40 seats remain.,40,Law Billing,Cargill Hall Law Door Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Criminal Procedure: Adjudication,Lecture,Law,7301,01,3,20113,Monday,S,T,W,T,F,S,M,02:20 PM - 05:20 PM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 230,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,48 of 48 seats remain.,48,Law Billing,Cargill Hall Law Door Access,02,20,05,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Law,Lecture,Law,7329,01,3,20010,Wednesday,S,M,T,T,F,S,W,05:30 PM - 08:30 PM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 230,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,48 of 48 seats remain.,48,Law Billing,Cargill Hall Law Door Access,05,30,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Evidence,Lecture,Law,7332,01,4,20011,"Tuesday,Thursday",S,M,W,F,S,T,T,02:50 PM - 04:45 PM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 250,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,50 of 50 seats remain.,50,Law Billing,Cargill Hall Law Door Access,02,50,04,45,,,,,,,,,,,,,,,,,,,,,,,,,,
Evidence,Lecture,Law,7332,03,4,20080,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,Online,40 of 40 seats remain.,40,Law Billing,Cargill Hall Law Door Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Law,Lecture,Law,7335,01,3,20012,"Tuesday,Thursday",S,M,W,F,S,T,T,06:00 PM - 07:25 PM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 230,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,30 of 30 seats remain.,30,Law Billing,Cargill Hall Law Door Access,06,00,07,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Negotiation,Lecture,Law,7350,01,3,20013,Tuesday,S,M,W,T,F,T,S,02:50 PM - 05:50 PM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 042,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,"16 of 16 seats remain.
16 of 16 waitlist seats remain.",16,Law Billing,Cargill Hall Law Door Access,02,50,05,50,16,,,,,,,,,,,,,,,,,,,,,,,,,
Intellectual Property,Lecture,Law,7369,01,3,20114,"Tuesday,Thursday",S,M,W,F,S,T,T,11:10 AM - 12:35 PM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 250,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,60 of 60 seats remain.,60,Law Billing,Cargill Hall Law Door Access,11,10,12,35,,,,,,,,,,,,,,,,,,,,,,,,,,
Trusts and Estates,Lecture,Law,7377,01,4,20015,"Monday,Wednesday",S,T,T,F,S,M,W,05:30 PM - 07:25 PM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 250,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,49 of 49 seats remain.,49,Law Billing,Cargill Hall Law Door Access,05,30,07,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Land Use,Lecture,Law,7394,01,3,20115,Tuesday,S,M,W,T,F,T,S,06:00 PM - 09:00 PM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 042,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,24 of 24 seats remain.,24,Law Billing,Cargill Hall Law Door Access,06,00,09,00,,,,,,,,,,,,,,,,,,,,,,,,,,
Labor Law 1,Lecture,Law,7424,02,4,20081,"Tuesday,Thursday",S,M,W,F,S,T,T,11:10 AM - 01:05 PM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 230,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,48 of 48 seats remain.,48,Law Billing,Cargill Hall Law Door Access,11,10,01,05,,,,,,,,,,,,,,,,,,,,,,,,,,
Professional Responsibility,Lecture,Law,7443,01,3,20016,"Tuesday,Thursday",S,M,W,F,S,T,T,01:15 PM - 02:40 PM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 240,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,90 of 90 seats remain.,90,Law Billing,Cargill Hall Law Door Access,01,15,02,40,,,,,,,,,,,,,,,,,,,,,,,,,,
Professional Responsibility,Lecture,Law,7443,02,3,20054,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,Online,40 of 40 seats remain.,40,Law Billing,Cargill Hall Law Door Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Discrimination,Lecture,Law,7448,01,3,20084,Monday,S,T,W,T,F,M,S,05:30 PM - 08:30 PM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 230,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,30 of 30 seats remain.,30,Law Billing,Cargill Hall Law Door Access,05,30,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternative Dispute Resolution,Lecture,Law,7449,01,3,20017,Wednesday,S,M,T,T,F,W,S,02:20 PM - 05:20 PM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 042,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,"16 of 16 seats remain.
16 of 16 waitlist seats remain.",16,Law Billing,Cargill Hall Law Door Access,02,20,05,20,16,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Legal Research,Lecture,Law,7454,01,2,20116,Friday,S,M,T,W,T,F,S,09:35 AM - 11:35 AM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 042,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,"20 of 20 seats remain.
20 of 20 waitlist seats remain.",20,Law Billing,Cargill Hall Law Door Access,09,35,11,35,20,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Income Taxation,Lecture,Law,7479,01,4,20018,"Monday,Wednesday",S,T,T,F,S,M,W,08:30 AM - 10:25 AM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 220,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/19/2025,End Date:,Boston,48 of 48 seats remain.,48,Law Billing,Cargill Hall Law Door Access,08,30,10,25,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sexuality, Gender, and the Law",Lecture,Law,7488,01,3,20049,"Tuesday,Thursday",S,M,W,F,S,T,T,11:10 AM - 12:35 PM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 046,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,"15 of 15 seats remain.
15 of 15 waitlist seats remain.",15,Law Billing,Cargill Hall Law Door Access,11,10,12,35,15,,,,,,,,,,,,,,,,,,,,,,,,,
International Human Rights and the Global Economy,Lecture,Law,7491,01,3,20019,Friday,S,M,T,W,T,F,S,09:35 AM - 12:35 PM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 230,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,30 of 30 seats remain.,30,Law Billing,Cargill Hall Law Door Access,09,35,12,35,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural Resources Law,Lecture,Law,7514,01,3,20020,Monday,S,T,W,T,F,M,S,08:00 AM - 09:25 AM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 042,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,24 of 24 seats remain.,24,Law Billing,Cargill Hall Law Door Access,08,00,09,25,,Wednesday,S,M,T,W,T,F,S,09:35 AM - 11:00 AM,09,35,11,00,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 042,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,,
Legal Writing Workshop,Lecture,Law,7516,01,3,20021,Friday,S,M,T,W,T,F,S,09:35 AM - 12:35 PM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 032,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,"14 of 14 seats remain.
14 of 14 waitlist seats remain.",14,Law Billing,Cargill Hall Law Door Access,09,35,12,35,14,,,,,,,,,,,,,,,,,,,,,,,,,
"Juvenile Courts: Delinquency, Abuse, Neglect",Lecture,Law,7526,01,3,20022,"Tuesday,Thursday",S,M,W,F,S,T,T,04:55 PM - 06:20 PM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 220,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,76 of 76 seats remain.,76,Law Billing,Cargill Hall Law Door Access,04,55,06,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Education Law,Lecture,Law,7530,01,3,20117,Wednesday,S,M,T,T,F,W,S,05:30 PM - 08:30 PM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 220,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,48 of 48 seats remain.,48,Law Billing,Cargill Hall Law Door Access,05,30,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Legal Interviewing and Counseling,Lecture,Law,7535,01,3,20023,"Tuesday,Thursday",S,M,W,F,S,T,T,09:35 AM - 11:00 AM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 044,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,"20 of 20 seats remain.
20 of 20 waitlist seats remain.",20,Law Billing,Cargill Hall Law Door Access,09,35,11,00,20,,,,,,,,,,,,,,,,,,,,,,,,,
Transactional Drafting Seminar,Seminar,Law,7572,01,3,20024,Friday,S,M,T,W,T,F,S,09:35 AM - 12:35 PM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 044,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,"12 of 12 seats remain.
12 of 12 waitlist seats remain.",12,Law Billing,Cargill Hall Law Door Access,09,35,12,35,12,,,,,,,,,,,,,,,,,,,,,,,,,
Transactional Drafting Seminar,Seminar,Law,7572,02,3,20127,Wednesday,S,M,T,T,F,W,S,02:20 PM - 05:20 PM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 044,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,"12 of 12 seats remain.
12 of 12 waitlist seats remain.",12,Law Billing,Cargill Hall Law Door Access,02,20,05,20,12,,,,,,,,,,,,,,,,,,,,,,,,,
Whistleblower Law,Seminar,Law,7622,01,2,20026,Sunday,M,T,W,T,F,S,S,09:30 AM - 11:30 AM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 230,Room:,Start Date: 06/07/2025,Start Date:,End Date: 06/08/2025,End Date:,Boston,"25 of 25 seats remain.
25 of 25 waitlist seats remain.",25,Law Billing,Cargill Hall Law Door Access,09,30,11,30,25,Sunday,M,T,W,S,T,F,S,09:30 AM - 11:30 AM,09,30,11,30,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 230,Room:,Start Date: 06/21/2025,Start Date:,End Date: 06/22/2025,End Date:,,
Inside Counsel,Lecture,Law,7629,01,2,20061,Tuesday,S,M,W,T,F,T,S,11:10 AM - 01:10 PM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 042,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,24 of 24 seats remain.,24,Law Billing,Cargill Hall Law Door Access,11,10,01,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Laboratory Seminar in Applied and Critical Legal Design,Seminar,Law,7635,01,4,20062,"Monday,Wednesday",S,T,T,F,S,M,W,02:20 PM - 04:15 PM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 032,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,"8 of 8 seats remain.
8 of 8 waitlist seats remain.",8,Law Billing,Cargill Hall Law Door Access,02,20,04,15,8,,,,,,,,,,,,,,,,,,,,,,,,,
Information Security Law,Seminar,Law,7640,01,3,20051,"Monday,Wednesday",S,T,T,F,S,M,W,11:10 AM - 12:35 PM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 044,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,"15 of 15 seats remain.
15 of 15 waitlist seats remain.",15,Law Billing,Cargill Hall Law Door Access,11,10,12,35,15,,,,,,,,,,,,,,,,,,,,,,,,,
Trial Practice,Seminar,Law,7647,01,2,20027,Thursday,S,M,T,W,F,T,S,09:00 AM - 11:00 AM,Type: Class,Type:,Building: Dockser Hall,Building:,Room: 160,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/06/2025,End Date:,Boston,"16 of 16 seats remain.
16 of 16 waitlist seats remain.",16,Law Billing,Cargill Hall Law Door Access,09,00,11,00,16,,,,,,,,,,,,,,,,,,,,,,,,,
